Policy,TTFT,TPOT,Total,R_TTFT,R_TPOT,R_Total
llumnix-linear-04,566.46,35.40,15875.59,1.00,1.00,1.00
round-robin-q,539.07,37.57,17070.45,1.05,0.94,0.93
least-bs-random,449.70,32.09,14486.08,1.26,1.10,1.10
bailian-impl-06,328.48,18.11,8235.74,1.72,1.95,1.93
join-shortest-q-weight,305.68,32.15,14351.85,1.85,1.10,1.11
join-shortest-q-tuple,298.56,33.68,15059.06,1.90,1.05,1.05
dynamo-deterministic,279.78,19.04,8213.80,2.02,1.86,1.93
least-wait-token-random,223.10,39.59,17783.09,2.54,0.89,0.89
join-shortest-q-ttft,167.54,12.42,5911.82,3.38,2.85,2.69
least-wait-token-bs,163.45,14.72,6684.17,3.47,2.40,2.38
least-wait-token-gated-bs,151.31,10.55,4868.90,3.74,3.36,3.26
